Election Type,Date,Region,Province or Territory,Constituency,Candidate,Gender,Occupation,Political Affiliation,Result,Votes
General,1993-10-25,QC,Quebec,Blainville--Deux-Montagnes,"Brien, Pierre",Man,Administrator,Liberal Party of Canada,Defeated,18730
General,1993-10-25,QC,Quebec,Blainville--Deux-Montagnes,"Landry, Monique",Woman,Member of Parliament,Progressive Conservative Party,Defeated,11840
General,1993-10-25,QC,Quebec,Blainville--Deux-Montagnes,"LÈgarÈ-St-Cyr, Linda",Woman,Aid consultant,Natural Law Party of Canada,Defeated,1010
General,1993-10-25,QC,Quebec,Blainville--Deux-Montagnes,"Rioux, Jean-Paul",Man,Bus driver,New Democratic Party,Defeated,858
General,1993-10-25,QC,Quebec,Blainville--Deux-Montagnes,"Kendall, Richard Kirkman",Man,Manager,Libertarian Party of Canada,Defeated,397
General,1993-10-25,QC,Quebec,Blainville--Deux-Montagnes,"Ray, GisËle",Woman,Retired,Party for the Commonwealth of Canada,Defeated,105
General,1993-10-25,QC,Quebec,Bonaventure--Œles-de-la-Madeleine,"Gagnon, Patrick",Man,Consultant,Liberal Party of Canada,Elected,12007
General,1993-10-25,QC,Quebec,Bonaventure--Œles-de-la-Madeleine,"Saint-Pierre, Michel",Man,Administration,Bloc QuÈbÈcois,Defeated,9237
General,1993-10-25,QC,Quebec,Bonaventure--Œles-de-la-Madeleine,"Gray, Darryl L.",Man,"Teacher, farmer",Progressive Conservative Party,Defeated,5929
General,1993-10-25,QC,Quebec,Bonaventure--Œles-de-la-Madeleine,"Poirier, Germaine",Woman,No occupation,New Democratic Party,Defeated,370
General,1993-10-25,QC,Quebec,Bourassa,"Nunez, Osvaldo",Man,Counsellor,Bloc QuÈbÈcois,Elected,18238
General,1993-10-25,QC,Quebec,Bourassa,"Coderre, Denis",Man,Radio animator,Liberal Party of Canada,Defeated,18185
General,1993-10-25,QC,Quebec,Bourassa,"Gibeau, Marie",Woman,Member of Parliament,Progressive Conservative Party,Defeated,5194
General,1993-10-25,QC,Quebec,Bourassa,"Laurent, Raymond",Man,Journalist,New Democratic Party,Defeated,1026
General,1993-10-25,QC,Quebec,Bourassa,"Couture, Miville",Man,Professor,Natural Law Party of Canada,Defeated,480
General,1993-10-25,QC,Quebec,Bourassa,"Lapointe, Lucien",Man,Retired,Abolitionist Party of Canada,Defeated,205
General,1993-10-25,QC,Quebec,Bourassa,"Quesnel, Harold Anthony",Man,Representative,Party for the Commonwealth of Canada,Defeated,103
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"PÈloquin, Gaston",Man,Teacher,Bloc QuÈbÈcois,Elected,17836
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"Kouri, Joan",Woman,Educator,Liberal Party of Canada,Defeated,16040
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"Vincelette, Francine",Woman,Businesswoman,Progressive Conservative Party,Defeated,7504
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"Peloquin, Jean Guy",Man,Business agent,Abolitionist Party of Canada,Defeated,722
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"DÈcarie, Yves",Man,Administrator,Natural Law Party of Canada,Defeated,563
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"Hutchinson, Sean",Man,Student,New Democratic Party,Defeated,553
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"Wightman, Gary",Man,Sales and distribution,Independent,Defeated,380
General,1993-10-25,QC,Quebec,Brome--Missisquoi,"SÈguin, Edmond",Man,Programmer,National Party of Canada,Defeated,156
General,1993-10-25,QC,Quebec,Chambly,"Lebel, Ghislain",Man,Notary public,Bloc QuÈbÈcois,Elected,36485
General,1993-10-25,QC,Quebec,Chambly,"Villiard, Jean-Claude",Man,Administrator,Liberal Party of Canada,Defeated,17803
General,1993-10-25,QC,Quebec,Chambly,"Tremblay, HÈlËne",Woman,Company head,Progressive Conservative Party,Defeated,4760
General,1993-10-25,QC,Quebec,Chambly,"CÙtÈ, FranÁois",Man,Lawyer,New Democratic Party,Defeated,1796
General,1993-10-25,QC,Quebec,Chambly,"Marjot, Marcel",Man,Retired,Party for the Commonwealth of Canada,Defeated,277
General,1993-10-25,QC,Quebec,Champlain,"Lefebvre, RÈjean",Man,Chief forestry worker,Bloc QuÈbÈcois,Elected,23650
General,1993-10-25,QC,Quebec,Champlain,"Champagne, Michel",Man,Political analyst,Progressive Conservative Party,Defeated,13083
General,1993-10-25,QC,Quebec,Champlain,"Veillette, Michel",Man,Industrialist,Liberal Party of Canada,Defeated,11254
General,1993-10-25,QC,Quebec,Champlain,"De Billy, AndrÈ",Man,Truck driver,New Democratic Party,Defeated,449
General,1993-10-25,QC,Quebec,Charlesbourg,"Jacob, Jean-Marc",Man,Veterinarian,Bloc QuÈbÈcois,Elected,38565
General,1993-10-25,QC,Quebec,Charlesbourg,"RENAUD, Michel",Man,Lawyer,Liberal Party of Canada,Defeated,15180
General,1993-10-25,QC,Quebec,Charlesbourg,"Tardif, Monique Bernatchez",Woman,Member of Parliament,Progressive Conservative Party,Defeated,8150
General,1993-10-25,QC,Quebec,Charlesbourg,"AUDY, Michel",Man,Construction contractor,Natural Law Party of Canada,Defeated,1487
General,1993-10-25,QC,Quebec,Charlesbourg,"JUNEAU, Gaston",Man,Union representative,New Democratic Party,Defeated,1258
General,1993-10-25,QC,Quebec,Charlesbourg,"LEJEUNE, Nelson",Man,Chef,Abolitionist Party of Canada,Defeated,318
General,1993-10-25,QC,Quebec,Charlevoix,"Asselin, GÈrard",Man,Foreman,Bloc QuÈbÈcois,Elected,23617
General,1993-10-25,QC,Quebec,Charlevoix,"DesgagnÈs, AndrÈ",Man,Information technologist,Liberal Party of Canada,Defeated,7160
General,1993-10-25,QC,Quebec,Charlevoix,"Guy, GÈrard",Man,Counsellor,Progressive Conservative Party,Defeated,6800
General,1993-10-25,QC,Quebec,Charlevoix,"Carpentier, Audrey",Woman,Secretary,New Democratic Party,Defeated,533
General,1993-10-25,QC,Quebec,Ch‚teauguay,"Godin, Maurice",Man,Early retiree,Bloc QuÈbÈcois,Elected,34652
General,1993-10-25,QC,Quebec,Ch‚teauguay,"Valaskakis, Kimon",Man,Economist,Liberal Party of Canada,Defeated,18121
General,1993-10-25,QC,Quebec,Ch‚teauguay,"Lopez, Ricardo",Man,Administrator,Progressive Conservative Party,Defeated,5782
General,1993-10-25,QC,Quebec,Ch‚teauguay,"Proulx, Luc",Man,Office worker,New Democratic Party,Defeated,858
General,1993-10-25,QC,Quebec,Ch‚teauguay,"Beauregard, StÈphane",Man,Representative,Party for the Commonwealth of Canada,Defeated,317
General,1993-10-25,QC,Quebec,Chicoutimi,"Fillion, Gilbert",Man,Retired professor,Bloc QuÈbÈcois,Elected,29511
General,1993-10-25,QC,Quebec,Chicoutimi,"Harvey, AndrÈ",Man,Member of Parliament,Progressive Conservative Party,Defeated,11126
General,1993-10-25,QC,Quebec,Chicoutimi,"Frenette, Georges",Man,Professor,Liberal Party of Canada,Defeated,5000
General,1993-10-25,QC,Quebec,Chicoutimi,"Moore, Christine",Woman,Student,New Democratic Party,Defeated,548
General,1993-10-25,QC,Quebec,Drummond,"Picard, Pauline",Woman,Administrative assistant,Bloc QuÈbÈcois,Elected,24923
General,1993-10-25,QC,Quebec,Drummond,"Boudreau, Bernard",Man,Lawyer,Liberal Party of Canada,Defeated,10924
General,1993-10-25,QC,Quebec,Drummond,"Guilbault, Jean-Guy",Man,Member of Parliament,Progressive Conservative Party,Defeated,8971
General,1993-10-25,QC,Quebec,Drummond,"Berner, Ferdinand",Man,Farmer,New Democratic Party,Defeated,605
General,1993-10-25,QC,Quebec,Frontenac,"ChrÈtien, Jean-Guy",Man,"Professor, farmer",Bloc QuÈbÈcois,Elected,19428
General,1993-10-25,QC,Quebec,Frontenac,"Jam, Jean-Guy",Man,Manager,Liberal Party of Canada,Defeated,7465
General,1993-10-25,QC,Quebec,Frontenac,"Nadeau, Jean-Claude",Man,Administrator,Progressive Conservative Party,Defeated,5431
General,1993-10-25,QC,Quebec,Frontenac,"Guernon, Jean-RenÈ",Man,Ecologist,Green Party of Canada,Defeated,379
General,1993-10-25,QC,Quebec,Frontenac,"Bowman, Joseph",Man,Student,New Democratic Party,Defeated,345
General,1993-10-25,QC,Quebec,Frontenac,"Turmel, Jean C.",Man,Electrical engineer,Abolitionist Party of Canada,Defeated,210
General,1993-10-25,QC,Quebec,GaspÈ,"Bernier, Yvan",Man,Administrator,Bloc QuÈbÈcois,Elected,13224
General,1993-10-25,QC,Quebec,GaspÈ,"Sams, Delton",Man,Lawyer,Liberal Party of Canada,Defeated,10128
General,1993-10-25,QC,Quebec,GaspÈ,"Marin, Charles-EugËne",Man,Psychiatric doctor,Progressive Conservative Party,Defeated,5425
General,1993-10-25,QC,Quebec,GaspÈ,"Limoges, Michel",Man,"Administrator, writer",Green Party of Canada,Defeated,291
General,1993-10-25,QC,Quebec,GaspÈ,"Steedman, Eric Wilson",Man,Student,New Democratic Party,Defeated,209
General,1993-10-25,QC,Quebec,Gatineau--La LiËvre,"Assad, Mark Joseph",Man,Professor,Liberal Party of Canada,Elected,39283
General,1993-10-25,QC,Quebec,Gatineau--La LiËvre,"Fournier, Jules",Man,Liaison officer,Bloc QuÈbÈcois,Defeated,25012
General,1993-10-25,QC,Quebec,Gatineau--La LiËvre,"Falardeau, JÈrÙme P.",Man,Businessman,Progressive Conservative Party,Defeated,4478
General,1993-10-25,QC,Quebec,Gatineau--La LiËvre,"Holden, Elizabeth",Woman,General secretary,New Democratic Party,Defeated,1099
General,1993-10-25,QC,Quebec,Gatineau--La LiËvre,"BÈlair, DaniËle",Woman,Teacher,Natural Law Party of Canada,Defeated,737
General,1993-10-25,QC,Quebec,Gatineau--La LiËvre,"Leblanc, Nicole",Woman,Clerk,Marxist-Leninist Party of Canada,Defeated,189
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"MÈnard, RÈal",Man,Political attachÈ,Bloc QuÈbÈcois,Elected,26170
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"LÈger, Jules",Man,Notary public,Liberal Party of Canada,Defeated,10675
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"Koury, Allan",Man,Member of Parliament,Progressive Conservative Party,Defeated,3723
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"Vachon, Paul",Man,Retired,New Democratic Party,Defeated,1050
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"Lauzon, Richard",Man,Representative,Natural Law Party of Canada,Defeated,588
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"Dandenault, Christine",Woman,Secretary,Marxist-Leninist Party of Canada,Defeated,259
General,1993-10-25,QC,Quebec,Hochelaga--Maisonneuve,"BÈlanger, Steve",Man,Representative,Party for the Commonwealth of Canada,Defeated,180
General,1993-10-25,QC,Quebec,Hull--Aylmer,"MassÈ, Marcel",Man,"Economist, administrator",Liberal Party of Canada,Elected,27988
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Rocheleau, Gilles",Man,Member of Parliament,Bloc QuÈbÈcois,Defeated,14293
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Cannavino, Tony",Man,Policeman,Independent,Defeated,4583
General,1993-10-25,QC,Quebec,Hull--Aylmer,"ChÈnier, Pierre",Man,Finance officer,Progressive Conservative Party,Defeated,3244
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Bourque, Francine",Woman,Professor,New Democratic Party,Defeated,1346
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Halpern, George",Man,Sales manager,Green Party of Canada,Defeated,468
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Mayer, Robert",Man,Managing director,Natural Law Party of Canada,Defeated,401
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Roy, FranÁoise",Woman,Homemaker,Marxist-Leninist Party of Canada,Defeated,162
General,1993-10-25,QC,Quebec,Hull--Aylmer,"Dubois, Linda",Woman,Mother,Abolitionist Party of Canada,Defeated,63
General,1993-10-25,QC,Quebec,Joliette,"Laurin, RenÈ",Man,Director general,Bloc QuÈbÈcois,Elected,41061
General,1993-10-25,QC,Quebec,Joliette,"Lefebvre, RÈjean",Man,Entrepreneur,Liberal Party of Canada,Defeated,10108
General,1993-10-25,QC,Quebec,Joliette,"LarrivÈe, Gaby",Man,Member of Parliament,Progressive Conservative Party,Defeated,8784
General,1993-10-25,QC,Quebec,Joliette,"Roy, Gilles",Man,Businessman,Natural Law Party of Canada,Defeated,1285
General,1993-10-25,QC,Quebec,Joliette,"De Chantal, Gilles",Man,Community organizer,New Democratic Party,Defeated,745
General,1993-10-25,QC,Quebec,JonquiËre,"Caron, AndrÈ",Man,Guidance counsellor,Bloc QuÈbÈcois,Elected,25129
General,1993-10-25,QC,Quebec,JonquiËre,"Blackburn, Jean-Pierre",Man,Administrator,Progressive Conservative Party,Defeated,6645
General,1993-10-25,QC,Quebec,JonquiËre,"Savard, Gilles",Man,Professor,Liberal Party of Canada,Defeated,4528
General,1993-10-25,QC,Quebec,JonquiËre,"Dufour, Normand",Man,"Butcher, animator",Natural Law Party of Canada,Defeated,444
General,1993-10-25,QC,Quebec,JonquiËre,"BÈlanger, Karl",Man,Student,New Democratic Party,Defeated,413
General,1993-10-25,QC,Quebec,Kamouraska--RiviËre-du-Loup,"CrÍte, Paul",Man,Personnel director,Bloc QuÈbÈcois,Elected,18510
General,1993-10-25,QC,Quebec,Kamouraska--RiviËre-du-Loup,"Plourde, AndrÈ",Man,Member of Parliament,Progressive Conservative Party,Defeated,8051
General,1993-10-25,QC,Quebec,Kamouraska--RiviËre-du-Loup,"Tremblay, Maurice",Man,Lawyer,Liberal Party of Canada,Defeated,7476
General,1993-10-25,QC,Quebec,Kamouraska--RiviËre-du-Loup,"Malenfant, Pierre-Paul",Man,Social worker,Independent,Defeated,537
General,1993-10-25,QC,Quebec,Kamouraska--RiviËre-du-Loup,"Bois, HÈlËne",Woman,Nurse,New Democratic Party,Defeated,440
General,1993-10-25,QC,Quebec,La Prairie,"BÈlisle, Richard",Man,Rehabilitation counsellor,Bloc QuÈbÈcois,Elected,27490
General,1993-10-25,QC,Quebec,La Prairie,"Saada, Jacques",Man,Businessman,Liberal Party of Canada,Defeated,27014
General,1993-10-25,QC,Quebec,La Prairie,"Jourdenais, Fernand",Man,Member of Parliament,Progressive Conservative Party,Defeated,7750
General,1993-10-25,QC,Quebec,La Prairie,"Akoum, Mohamed",Man,Information systems consultant,New Democratic Party,Defeated,708
General,1993-10-25,QC,Quebec,La Prairie,"Montpetit, Pierre",Man,Consultant,Natural Law Party of Canada,Defeated,699
General,1993-10-25,QC,Quebec,La Prairie,"Gauthier, Alain",Man,Doctor,Party for the Commonwealth of Canada,Defeated,199
General,1993-10-25,QC,Quebec,Lac-Saint-Jean,"Bouchard, Lucien",Man,Member of Parliament,Bloc QuÈbÈcois,Elected,27258
General,1993-10-25,QC,Quebec,Lac-Saint-Jean,"Girard, NoÎl",Man,Sales professional,Liberal Party of Canada,Defeated,5172
General,1993-10-25,QC,Quebec,Lac-Saint-Jean,"Falardeau, Denise",Woman,Teacher,Progressive Conservative Party,Defeated,3201
General,1993-10-25,QC,Quebec,Lac-Saint-Jean,"Jalbert, Marie D.",Woman,Secretary,New Democratic Party,Defeated,443
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Lincoln, Clifford",Man,Consultant,Liberal Party of Canada,Elected,39732
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Amyot, Guy",Man,Businessman,Bloc QuÈbÈcois,Defeated,12014
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Di Tomaso, Nick",Man,Consultant,Progressive Conservative Party,Defeated,4717
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Udvarhely, Val",Man,Union representative,New Democratic Party,Defeated,822
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Shaw, Bill",Man,Dental surgeon,Independent,Defeated,618
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Bessette, Ronald",Man,Businessman,Natural Law Party of Canada,Defeated,559
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Wiebe, Jim",Man,Engineer,Libertarian Party of Canada,Defeated,191
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Brosseau, Claude",Man,Representative,Party for the Commonwealth of Canada,Defeated,169
General,1993-10-25,QC,Quebec,Lachine--Lac-Saint-Louis,"Robinson, Michael",Man,Home renovations,Abolitionist Party of Canada,Defeated,81
General,1993-10-25,QC,Quebec,LaSalle--…mard,"Martin, Paul Edgar Philippe",Man,Member of Parliament,Liberal Party of Canada,Elected,30869
General,1993-10-25,QC,Quebec,LaSalle--…mard,"Cimon, …ric",Man,Student,Bloc QuÈbÈcois,Defeated,17279
General,1993-10-25,QC,Quebec,LaSalle--…mard,"SenÈcal, Johanne",Woman,Businesswoman,Progressive Conservative Party,Defeated,2378
General,1993-10-25,QC,Quebec,LaSalle--…mard,"Belzile, Richard",Man,"Educational consultant, professor",New Democratic Party,Defeated,707
General,1993-10-25,QC,Quebec,LaSalle--…mard,"Amarica, George",Man,Engineer,Natural Law Party of Canada,Defeated,418
General,1993-10-25,QC,Quebec,LaSalle--…mard,"Carli, Giampaolo",Man,Engineer,Party for the Commonwealth of Canada,Defeated,120
General,1993-10-25,QC,Quebec,LaSalle--…mard,"Turmel, ThÈrËse",Woman,Retired,Abolitionist Party of Canada,Defeated,103
General,1993-10-25,QC,Quebec,Laurentides,"Guay, Monique",Woman,"Businesswoman, administrator",Bloc QuÈbÈcois,Elected,41822
General,1993-10-25,QC,Quebec,Laurentides,"Tisseyre, Michelle",Woman,,Liberal Party of Canada,Defeated,18651
General,1993-10-25,QC,Quebec,Laurentides,"Vien, Jacques",Man,,Progressive Conservative Party,Defeated,7169
General,1993-10-25,QC,Quebec,Laurentides,"Houle, Patricia",Woman,Secretary,New Democratic Party,Defeated,820
General,1993-10-25,QC,Quebec,Laurentides,"Gervais, Gilles",Man,,Party for the Commonwealth of Canada,Defeated,464
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Duceppe, Gilles",Man,Member of Parliament,Bloc QuÈbÈcois,Elected,25060
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Desbiens, Robert",Man,Director of communications,Liberal Party of Canada,Defeated,9940
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Routhier, Yvan",Man,Commercial credit (small business),Progressive Conservative Party,Defeated,2156
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Gravel, Alain",Man,Administrator,New Democratic Party,Defeated,1237
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Tromp, John",Man,Scientist,Green Party of Canada,Defeated,1050
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Bergeron, Pierre",Man,Professor,Natural Law Party of Canada,Defeated,652
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Chouinard, Normand",Man,Student,Marxist-Leninist Party of Canada,Defeated,205
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"DugrÈ, Michel",Man,Worker,Independent,Defeated,131
General,1993-10-25,QC,Quebec,Laurier--Sainte-Marie,"Brassard, Sophie",Woman,Homemaker,Party for the Commonwealth of Canada,Defeated,127
General,1993-10-25,QC,Quebec,Laval Centre,"Dalphond-Guiral, Madeleine",Woman,Professor,Bloc QuÈbÈcois,Elected,31462
General,1993-10-25,QC,Quebec,Laval Centre,"Fortin, Guymond",Man,Engineer,Liberal Party of Canada,Defeated,19031
General,1993-10-25,QC,Quebec,Laval Centre,"Fortier, Bruno",Man,"Administrator, lawyer",Progressive Conservative Party,Defeated,4548
General,1993-10-25,QC,Quebec,Laval Centre,"Dodier, Yvon",Man,Electrical technician,Natural Law Party of Canada,Defeated,675
General,1993-10-25,QC,Quebec,Laval Centre,"Qureshi, Afsun",Woman,Writer,New Democratic Party,Defeated,640
General,1993-10-25,QC,Quebec,Laval Centre,"De Santis, Joe",Man,Sales representative,National Party of Canada,Defeated,252
General,1993-10-25,QC,Quebec,Laval Centre,"Destroismaisons, Michel",Man,Teacher,Party for the Commonwealth of Canada,Defeated,221
General,1993-10-25,QC,Quebec,Laval Centre,"Martel, Emilien",Man,Retired,Abolitionist Party of Canada,Defeated,174
General,1993-10-25,QC,Quebec,Laval East,"Debien, Maud",Woman,Retired,Bloc QuÈbÈcois,Elected,31491
General,1993-10-25,QC,Quebec,Laval East,"Folco, Raymonde",Woman,Manager,Liberal Party of Canada,Defeated,16270
General,1993-10-25,QC,Quebec,Laval East,"Della Noce, Vincent",Man,Member of Parliament,Progressive Conservative Party,Defeated,11131
General,1993-10-25,QC,Quebec,Laval East,"Houle, StÈphane",Man,Plumber,New Democratic Party,Defeated,662
General,1993-10-25,QC,Quebec,Laval East,"Cauchon, Denis",Man,Administrator,Natural Law Party of Canada,Defeated,587
General,1993-10-25,QC,Quebec,Laval East,"Beaubien, Denise",Woman,Homemaker,Abolitionist Party of Canada,Defeated,363
General,1993-10-25,QC,Quebec,Laval East,"LÈpine, FranÁois",Man,Representative,Party for the Commonwealth of Canada,Defeated,125
General,1993-10-25,QC,Quebec,Laval West,"Dupuy, Michel",Man,Foreign policy consultant,Liberal Party of Canada,Elected,28449
General,1993-10-25,QC,Quebec,Laval West,"Leduc, Michel",Man,Administrator,Bloc QuÈbÈcois,Defeated,26460
General,1993-10-25,QC,Quebec,Laval West,"Ricard, Guy",Man,Engineer,Progressive Conservative Party,Defeated,4167
General,1993-10-25,QC,Quebec,Laval West,"Tardif-Provencher, Marcella",Woman,Singer,New Democratic Party,Defeated,678
General,1993-10-25,QC,Quebec,Laval West,"Blatter, Rick",Man,Health and CPR consultant,Libertarian Party of Canada,Defeated,649
General,1993-10-25,QC,Quebec,Laval West,"GagnÈ, Eddy",Man,Business manager,Natural Law Party of Canada,Defeated,546
General,1993-10-25,QC,Quebec,Laval West,"MacNeil, Cyril G.",Man,Unemployed,National Party of Canada,Defeated,280
General,1993-10-25,QC,Quebec,Laval West,"Ajemian, John",Man,Retired,Party for the Commonwealth of Canada,Defeated,187
General,1993-10-25,QC,Quebec,Laval West,"Vaudrin, Georges",Man,Carpenter,Abolitionist Party of Canada,Defeated,109
General,1993-10-25,QC,Quebec,LÈvis,"DubÈ, Antoine",Man,Administrator,Bloc QuÈbÈcois,Elected,40487
General,1993-10-25,QC,Quebec,LÈvis,"Gagnon, Jean-Marc",Man,Customer service director,Liberal Party of Canada,Defeated,14284
General,1993-10-25,QC,Quebec,LÈvis,"LÈveillÈ, Serge",Man,Director general,Progressive Conservative Party,Defeated,9185
General,1993-10-25,QC,Quebec,LÈvis,"Renaud, Marie-France",Woman,,New Democratic Party,Defeated,1186
General,1993-10-25,QC,Quebec,LÈvis,"Carrier, Carole",Woman,Nursing assistant,Abolitionist Party of Canada,Defeated,667
General,1993-10-25,QC,Quebec,Longueuil,"Leblanc, Nic",Man,Member of Parliament,Bloc QuÈbÈcois,Elected,38892
General,1993-10-25,QC,Quebec,Longueuil,"Chartrand, Guy",Man,Manager,Liberal Party of Canada,Defeated,14252
General,1993-10-25,QC,Quebec,Longueuil,"Ledoux, Richard",Man,Lawyer,Progressive Conservative Party,Defeated,4561
General,1993-10-25,QC,Quebec,Longueuil,"Martinez, Sergio",Man,Professor,New Democratic Party,Defeated,999
General,1993-10-25,QC,Quebec,Longueuil,"LÈpine, Dany",Man,Student,Party for the Commonwealth of Canada,Defeated,251
General,1993-10-25,QC,Quebec,LotbiniËre,"Landry, Jean",Man,Aerial photographer,Bloc QuÈbÈcois,Elected,26956
General,1993-10-25,QC,Quebec,LotbiniËre,"Provencher, Michael",Man,Lawyer,Liberal Party of Canada,Defeated,14888
General,1993-10-25,QC,Quebec,LotbiniËre,"Le Sieur, Jacques",Man,Consultant,Progressive Conservative Party,Defeated,7576
General,1993-10-25,QC,Quebec,LotbiniËre,"Robitaille, AndrÈ-Pierre",Man,Administrator,New Democratic Party,Defeated,707
General,1993-10-25,QC,Quebec,Louis-HÈbert,"ParÈ, Philippe",Man,Retired,Bloc QuÈbÈcois,Elected,33879
General,1993-10-25,QC,Quebec,Louis-HÈbert,"Brousseau, Margo",Woman,Lawyer,Liberal Party of Canada,Defeated,15673
General,1993-10-25,QC,Quebec,Louis-HÈbert,"Fortin-Duplessis, Suzanne",Woman,Member of Parliament,Progressive Conservative Party,Defeated,9313
General,1993-10-25,QC,Quebec,Louis-HÈbert,"Nadeau, Michel",Man,Director,Natural Law Party of Canada,Defeated,882
General,1993-10-25,QC,Quebec,Louis-HÈbert,"Adomeit, Karl",Man,Student,New Democratic Party,Defeated,784
General,1993-10-25,QC,Quebec,Louis-HÈbert,"Guimond, Raymond",Man,Counsellor and educator,Abolitionist Party of Canada,Defeated,166
General,1993-10-25,QC,Quebec,Louis-HÈbert,"Brochu, Jacques",Man,Computer analyst,Party for the Commonwealth of Canada,Defeated,147
General,1993-10-25,QC,Quebec,Manicouagan,"St-Laurent, Bernard",Man,Correctional service,Bloc QuÈbÈcois,Elected,14859
General,1993-10-25,QC,Quebec,Manicouagan,"Langlois, Charles A.",Man,Member of Parliament,Progressive Conservative Party,Defeated,6012
General,1993-10-25,QC,Quebec,Manicouagan,"Lavoie, Rita",Woman,Businesswoman,Liberal Party of Canada,Defeated,5706
General,1993-10-25,QC,Quebec,Manicouagan,"HÈbert, Eric",Man,Student,New Democratic Party,Defeated,451
General,1993-10-25,QC,Quebec,MatapÈdia--Matane,"Canuel, RenÈ",Man,Teacher,Bloc QuÈbÈcois,Elected,18331
General,1993-10-25,QC,Quebec,MatapÈdia--Matane,"Gauthier, Maurice",Man,Director,Liberal Party of Canada,Defeated,10410
General,1993-10-25,QC,Quebec,MatapÈdia--Matane,"Joncas, Jean-Luc",Man,Member of Parliament,Progressive Conservative Party,Defeated,2448
General,1993-10-25,QC,Quebec,MatapÈdia--Matane,"Gauthier, Pierre",Man,Orthotherapist,Natural Law Party of Canada,Defeated,570
General,1993-10-25,QC,Quebec,MatapÈdia--Matane,"McKoy, Robert",Man,Student,New Democratic Party,Defeated,218
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"Bernier, Maurice",Man,Public servant,Bloc QuÈbÈcois,Elected,17214
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"Naylor, Eugene",Man,Farm equipment technician,Liberal Party of Canada,Defeated,13602
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"Goddard, Gilles",Man,Businessman,Progressive Conservative Party,Defeated,6026
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"BenoÓt, Jacqueline",Woman,Teacher,Natural Law Party of Canada,Defeated,750
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"Simard, Martine",Woman,Teacher,New Democratic Party,Defeated,494
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"Bissonnette, Marco",Man,Businessman,Abolitionist Party of Canada,Defeated,212
General,1993-10-25,QC,Quebec,MÈgantic--Compton--Stanstead,"Stewart, James",Man,Professional engineer,National Party of Canada,Defeated,197
General,1993-10-25,QC,Quebec,Mercier,"Lalonde, Francine",Woman,Lecturer,Bloc QuÈbÈcois,Elected,34678
General,1993-10-25,QC,Quebec,Mercier,"Tadros, Magda",Woman,Administrator,Liberal Party of Canada,Defeated,11812
General,1993-10-25,QC,Quebec,Mercier,"Jacques, Carole",Woman,"Lawyer, Member of Parliament",No affiliation to a recognised party,Defeated,8930
General,1993-10-25,QC,Quebec,Mercier,"Lacoste, GÈrald",Man,Lawyer,Progressive Conservative Party,Defeated,2449
General,1993-10-25,QC,Quebec,Mercier,"D'Amours, Guy",Man,Day labourer,New Democratic Party,Defeated,682
